,task_pred_id,task_id,pred_task_id,proj_id,pred_proj_id,pred_type,lag_hr_cnt,float_path,aref,arls
0,170158,139345,139341,769,769,PR_FS,6488,,2011-12-15 17:00,
1,170159,141712,139341,769,769,PR_SS,0,,2009-04-01 08:00,
2,170160,139343,139342,769,769,PR_FS,1200,,2011-03-06 08:01,
3,170161,139344,139343,769,769,PR_FS,1160,,2011-09-05 08:01,
4,170162,139345,139344,769,769,PR_FS,624,,2011-12-21 08:01,
5,170163,139347,139346,769,769,PR_FS,144,,2009-10-12 17:00,
6,170164,139503,139346,769,769,PR_SS,160,,2009-07-27 17:00,
7,170165,139348,139347,769,769,PR_FS,160,,2009-12-22 17:00,
8,170166,139349,139348,769,769,PR_FS,240,,2010-03-30 17:00,
9,170167,139350,139349,769,769,PR_FS,0,,2010-04-08 17:00,
10,170168,139351,139350,769,769,PR_FS,16,,2010-05-02 17:00,
11,170169,139353,139350,769,769,PR_FS,160,,2010-05-23 17:00,
12,170170,139352,139351,769,769,PR_FS,8,,2010-05-11 17:00,
13,170171,139354,139352,769,769,PR_FS,0,,2010-06-01 17:00,
14,170172,139367,139352,769,769,PR_FS,96,,2010-06-15 17:00,
15,170173,139355,139353,769,769,PR_FS,0,,2010-06-15 17:00,
16,170174,139356,139354,769,769,PR_FS,8,,2010-06-12 17:00,
17,170175,139357,139355,769,769,PR_FS,0,,2010-06-21 17:00,
18,170176,139358,139356,769,769,PR_FS,0,,2010-07-07 17:00,
19,170177,139378,139356,769,769,PR_FS,96,,2010-07-21 17:00,
20,170178,139359,139357,769,769,PR_FS,0,,2010-07-17 17:00,
21,170179,139364,139358,769,769,PR_FS,8,,2010-07-17 17:00,
22,170180,139342,139359,769,769,PR_FS,0,,2010-07-19 17:00,
23,170181,139360,139359,769,769,PR_FS,240,,2010-08-23 17:00,
24,170182,139363,139360,769,769,PR_FS,0,,2010-08-25 17:00,
25,170183,139367,139361,769,769,PR_FS,0,,2010-09-18 17:00,
26,170184,139375,139361,769,769,PR_FS,120,,2010-10-05 17:00,
27,170185,139367,139362,769,769,PR_FS,0,,2010-09-18 17:00,
28,170186,139371,139362,769,769,PR_FS,120,,2010-10-05 17:00,
29,170187,139372,139362,769,769,PR_FS,120,,2010-10-05 17:00,
30,170188,139373,139362,769,769,PR_FS,120,,2010-10-05 17:00,
31,170189,139374,139362,769,769,PR_FS,120,,2010-10-05 17:00,
32,170190,139380,139362,769,769,PR_FS,120,,2010-10-05 17:00,
33,170191,139361,139363,769,769,PR_SS,0,,2010-08-26 08:00,
34,170192,139361,139363,769,769,PR_FF,0,,2010-08-26 08:00,
35,170193,139362,139363,769,769,PR_SS,0,,2010-08-26 08:00,
36,170194,139362,139363,769,769,PR_FF,0,,2010-08-26 08:00,
37,170195,139367,139363,769,769,PR_FS,0,,2010-09-18 17:00,
38,170196,139370,139363,769,769,PR_FS,120,,2010-10-05 17:00,
39,170197,139380,139363,769,769,PR_FS,120,,2010-10-05 17:00,
40,170198,139368,139364,769,769,PR_FS,0,,2010-08-07 17:00,
41,170199,139390,139364,769,769,PR_FS,64,,2010-08-16 17:00,
42,170200,139378,139365,769,769,PR_FS,0,,2010-10-07 17:00,
43,170201,139387,139365,769,769,PR_FS,120,,2010-10-25 17:00,
44,170202,139378,139366,769,769,PR_FS,0,,2010-10-07 17:00,
45,170203,139382,139366,769,769,PR_FS,120,,2010-10-25 17:00,
46,170204,139393,139366,769,769,PR_FS,120,,2010-10-25 17:00,
47,170205,139365,139367,769,769,PR_SS,0,,2010-09-21 08:00,
48,170206,139365,139367,769,769,PR_FF,0,,2010-09-21 08:00,
49,170207,139366,139367,769,769,PR_SS,0,,2010-09-21 08:00,
50,170208,139366,139367,769,769,PR_FF,0,,2010-09-21 08:00,
51,170209,139378,139367,769,769,PR_FS,0,,2010-10-07 17:00,
52,170210,139382,139367,769,769,PR_FS,120,,2010-10-25 17:00,
53,170211,139393,139367,769,769,PR_FS,120,,2010-10-25 17:00,
54,170212,139369,139368,769,769,PR_FS,8,,2010-08-16 17:00,
55,170213,139391,139369,769,769,PR_FS,0,,2010-09-06 17:00,
56,170214,139405,139369,769,769,PR_FS,64,,2010-09-21 17:00,
57,170215,139371,139370,769,769,PR_SS,0,,2010-10-09 08:00,
58,170216,139372,139370,769,769,PR_SS,0,,2010-10-09 08:00,
59,170217,139373,139370,769,769,PR_SS,0,,2010-10-09 08:00,
60,170218,139374,139370,769,769,PR_SS,0,,2010-10-09 08:00,
61,170219,139380,139370,769,769,PR_FS,0,,2010-10-14 17:00,
62,170220,139382,139370,769,769,PR_FS,0,,2010-10-14 17:00,
63,170221,139383,139371,769,769,PR_FS,0,,2010-10-10 17:00,
64,170222,139447,139371,769,769,PR_FS,0,,2010-10-10 17:00,
65,170223,139384,139372,769,769,PR_FS,0,,2010-10-09 17:00,
66,170224,139446,139372,769,769,PR_FS,0,,2010-10-09 17:00,
67,170225,139385,139373,769,769,PR_FS,0,,2010-10-12 17:00,
68,170226,139450,139373,769,769,PR_FS,0,,2010-10-12 17:00,
69,170227,139386,139374,769,769,PR_FS,0,,2010-10-10 17:00,
70,170228,139448,139374,769,769,PR_FS,0,,2010-10-10 17:00,
71,170229,139379,139375,769,769,PR_FS,0,,2010-10-12 17:00,
72,170230,139390,139376,769,769,PR_FS,0,,2010-10-25 17:00,
73,170231,139402,139376,769,769,PR_FS,120,,2010-11-11 17:00,
74,170232,139390,139377,769,769,PR_FS,0,,2010-10-25 17:00,
75,170233,139397,139377,769,769,PR_FS,120,,2010-11-11 17:00,
76,170234,139408,139377,769,769,PR_FS,120,,2010-11-11 17:00,
77,170235,139376,139378,769,769,PR_SS,0,,2010-10-09 08:00,
78,170236,139376,139378,769,769,PR_FF,0,,2010-10-09 08:00,
79,170237,139377,139378,769,769,PR_SS,0,,2010-10-09 08:00,
80,170238,139377,139378,769,769,PR_FF,0,,2010-10-09 08:00,
81,170239,139390,139378,769,769,PR_FS,0,,2010-10-25 17:00,
82,170240,139397,139378,769,769,PR_FS,120,,2010-11-11 17:00,
83,170241,139408,139378,769,769,PR_FS,120,,2010-11-11 17:00,
84,170242,139381,139379,769,769,PR_FS,0,,2010-10-20 17:00,
85,170243,139394,139380,769,769,PR_FS,0,,2010-10-26 17:00,
86,170244,139394,139381,769,769,PR_FS,80,,2010-11-02 17:00,
87,170245,139383,139382,769,769,PR_SS,0,,2010-10-26 08:00,
88,170246,139384,139382,769,769,PR_SS,0,,2010-10-26 08:00,
89,170247,139385,139382,769,769,PR_SS,0,,2010-10-26 08:00,
90,170248,139386,139382,769,769,PR_SS,0,,2010-10-26 08:00,
91,170249,139393,139382,769,769,PR_FS,0,,2010-11-01 17:00,
92,170250,139397,139382,769,769,PR_FS,0,,2010-11-01 17:00,
93,170251,139398,139383,769,769,PR_FS,0,,2010-10-27 17:00,
94,170252,139447,139383,769,769,PR_FS,0,,2010-10-27 17:00,
95,170253,139399,139384,769,769,PR_FS,0,,2010-10-26 17:00,
96,170254,139446,139384,769,769,PR_FS,0,,2010-10-26 17:00,
97,170255,139400,139385,769,769,PR_FS,0,,2010-10-30 17:00,
98,170256,139450,139385,769,769,PR_FS,0,,2010-10-30 17:00,
99,170257,139401,139386,769,769,PR_FS,0,,2010-10-27 17:00,
100,170258,139448,139386,769,769,PR_FS,0,,2010-10-27 17:00,
101,170259,139392,139387,769,769,PR_FS,0,,2010-10-30 17:00,
102,170260,139405,139388,769,769,PR_FS,0,,2010-11-11 17:00,
103,170261,139416,139388,769,769,PR_FS,120,,2010-12-04 17:00,
104,170262,139405,139389,769,769,PR_FS,0,,2010-11-11 17:00,
105,170263,139411,139389,769,769,PR_FS,120,,2010-12-04 17:00,
106,170264,139420,139389,769,769,PR_FS,120,,2010-12-04 17:00,
107,170265,139388,139390,769,769,PR_SS,0,,2010-10-26 08:00,
108,170266,139388,139390,769,769,PR_FF,0,,2010-10-26 08:00,
109,170267,139389,139390,769,769,PR_SS,0,,2010-10-26 08:00,
110,170268,139389,139390,769,769,PR_FF,0,,2010-10-26 08:00,
111,170269,139405,139390,769,769,PR_FS,0,,2010-11-11 17:00,
112,170270,139411,139390,769,769,PR_FS,120,,2010-12-04 17:00,
113,170271,139420,139390,769,769,PR_FS,120,,2010-12-04 17:00,
114,170272,139395,139391,769,769,PR_FS,8,,2010-09-21 17:00,
115,170273,139396,139392,769,769,PR_FS,0,,2010-11-07 17:00,
116,170274,139406,139393,769,769,PR_FS,0,,2010-11-13 17:00,
117,170275,139406,139394,769,769,PR_FS,0,,2010-11-07 17:00,
118,170276,139463,139394,769,769,PR_FS,1040,,2011-04-13 17:00,
119,170277,139410,139395,769,769,PR_FS,0,,2010-10-14 17:00,
120,170278,139423,139395,769,769,PR_FS,64,,2010-10-24 17:00,
121,170279,139406,139396,769,769,PR_FS,0,,2010-11-08 17:00,
122,170280,139398,139397,769,769,PR_SS,0,,2010-11-20 08:00,
123,170281,139399,139397,769,769,PR_SS,0,,2010-11-20 08:00,
124,170282,139400,139397,769,769,PR_SS,0,,2010-11-20 08:00,
125,170283,139401,139397,769,769,PR_SS,0,,2010-11-20 08:00,
126,170284,139408,139397,769,769,PR_FS,0,,2010-11-25 17:00,
127,170285,139411,139397,769,769,PR_FS,0,,2010-11-25 17:00,
128,170286,139412,139398,769,769,PR_FS,0,,2010-11-21 17:00,
129,170287,139447,139398,769,769,PR_FS,0,,2010-11-21 17:00,
130,170288,139413,139399,769,769,PR_FS,0,,2010-11-20 17:00,
131,170289,139446,139399,769,769,PR_FS,0,,2010-11-20 17:00,
132,170290,139414,139400,769,769,PR_FS,0,,2010-11-23 17:00,
133,170291,139450,139400,769,769,PR_FS,0,,2010-11-23 17:00,
134,170292,139415,139401,769,769,PR_FS,0,,2010-11-21 17:00,
135,170293,139448,139401,769,769,PR_FS,0,,2010-11-21 17:00,
136,170294,139407,139402,769,769,PR_FS,0,,2010-11-23 17:00,
137,170295,139423,139403,769,769,PR_FS,0,,2010-12-06 17:00,
138,170296,139430,139403,769,769,PR_FS,120,,2010-12-23 17:00,
139,170297,139423,139404,769,769,PR_FS,0,,2010-12-06 17:00,
140,170298,139425,139404,769,769,PR_FS,120,,2010-12-23 17:00,
141,170299,139434,139404,769,769,PR_FS,120,,2010-12-23 17:00,
142,170300,139403,139405,769,769,PR_SS,0,,2010-11-20 08:00,
143,170301,139403,139405,769,769,PR_FF,0,,2010-11-20 08:00,
144,170302,139404,139405,769,769,PR_SS,0,,2010-11-20 08:00,
145,170303,139404,139405,769,769,PR_FF,0,,2010-11-20 08:00,
146,170304,139423,139405,769,769,PR_FS,0,,2010-12-06 17:00,
147,170305,139425,139405,769,769,PR_FS,120,,2010-12-23 17:00,
148,170306,139434,139405,769,769,PR_FS,120,,2010-12-23 17:00,
149,170307,139417,139406,769,769,PR_FS,0,,2010-11-24 17:00,
150,170308,139467,139406,769,769,PR_FS,1040,,2011-04-26 17:00,
151,170309,139409,139407,769,769,PR_FS,0,,2010-12-01 17:00,
152,170310,139417,139408,769,769,PR_FS,0,,2010-12-07 17:00,
153,170311,139417,139409,769,769,PR_FS,0,,2010-12-02 17:00,
154,170312,139418,139410,769,769,PR_FS,0,,2010-10-19 17:00,
155,170313,139412,139411,769,769,PR_SS,0,,2010-12-07 08:00,
156,170314,139413,139411,769,769,PR_SS,0,,2010-12-07 08:00,
157,170315,139414,139411,769,769,PR_SS,0,,2010-12-07 08:00,
158,170316,139415,139411,769,769,PR_SS,0,,2010-12-07 08:00,
159,170317,139420,139411,769,769,PR_FS,0,,2010-12-13 17:00,
160,170318,139425,139411,769,769,PR_FS,0,,2010-12-13 17:00,
161,170319,139426,139412,769,769,PR_FS,0,,2010-12-08 17:00,
162,170320,139447,139412,769,769,PR_FS,0,,2010-12-08 17:00,
163,170321,139427,139413,769,769,PR_FS,0,,2010-12-07 17:00,
164,170322,139446,139413,769,769,PR_FS,0,,2010-12-07 17:00,
165,170323,139428,139414,769,769,PR_FS,0,,2010-12-11 17:00,
166,170324,139450,139414,769,769,PR_FS,0,,2010-12-11 17:00,
167,170325,139429,139415,769,769,PR_FS,0,,2010-12-08 17:00,
168,170326,139448,139415,769,769,PR_FS,0,,2010-12-08 17:00,
169,170327,139419,139416,769,769,PR_FS,0,,2010-12-11 17:00,
170,170328,139431,139417,769,769,PR_FS,0,,2010-12-12 17:00,
171,170329,139475,139417,769,769,PR_FS,1040,,2011-05-14 17:00,
172,170330,139343,139418,769,769,PR_FS,0,,2010-10-25 17:00,
173,170331,139435,139418,769,769,PR_FS,0,,2010-10-25 17:00,
174,170332,139424,139419,769,769,PR_FS,0,,2010-12-19 17:00,
175,170333,139431,139420,769,769,PR_FS,0,,2010-12-25 17:00,
176,170334,139435,139421,769,769,PR_FS,0,,2010-12-23 17:00,
177,170335,139445,139421,769,769,PR_FS,120,,2011-01-10 17:00,
178,170336,139435,139422,769,769,PR_FS,0,,2010-12-23 17:00,
179,170337,139440,139422,769,769,PR_FS,120,,2011-01-10 17:00,
180,170338,139455,139422,769,769,PR_FS,120,,2011-01-10 17:00,
181,170339,139421,139423,769,769,PR_SS,0,,2010-12-07 08:00,
182,170340,139421,139423,769,769,PR_FF,0,,2010-12-07 08:00,
183,170341,139422,139423,769,769,PR_SS,0,,2010-12-07 08:00,
184,170342,139422,139423,769,769,PR_FF,0,,2010-12-07 08:00,
185,170343,139433,139423,769,769,PR_FS,0,,2010-12-23 17:00,
186,170344,139435,139423,769,769,PR_FS,0,,2010-12-23 17:00,
187,170345,139440,139423,769,769,PR_FS,120,,2011-01-10 17:00,
188,170346,139455,139423,769,769,PR_FS,120,,2011-01-10 17:00,
189,170347,139431,139424,769,769,PR_FS,0,,2010-12-20 17:00,
190,170348,139426,139425,769,769,PR_SS,0,,2010-12-25 08:00,
191,170349,139427,139425,769,769,PR_SS,0,,2010-12-25 08:00,
192,170350,139428,139425,769,769,PR_SS,0,,2010-12-25 08:00,
193,170351,139429,139425,769,769,PR_SS,0,,2010-12-25 08:00,
194,170352,139434,139425,769,769,PR_FS,0,,2010-12-30 17:00,
195,170353,139440,139425,769,769,PR_FS,0,,2010-12-30 17:00,
196,170354,139441,139426,769,769,PR_FS,0,,2010-12-26 17:00,
197,170355,139447,139426,769,769,PR_FS,0,,2010-12-26 17:00,
198,170356,139442,139427,769,769,PR_FS,0,,2010-12-25 17:00,
199,170357,139446,139427,769,769,PR_FS,0,,2010-12-25 17:00,
200,170358,139443,139428,769,769,PR_FS,0,,2010-12-28 17:00,
201,170359,139450,139428,769,769,PR_FS,0,,2010-12-28 17:00,
202,170360,139444,139429,769,769,PR_FS,0,,2010-12-26 17:00,
203,170361,139448,139429,769,769,PR_FS,0,,2010-12-26 17:00,
204,170362,139432,139430,769,769,PR_FS,0,,2010-12-28 17:00,
205,170363,139439,139431,769,769,PR_FS,0,,2010-12-29 17:00,
206,170364,139478,139431,769,769,PR_FS,1040,,2011-05-31 17:00,
207,170365,139437,139432,769,769,PR_FS,0,,2011-01-05 17:00,
208,170366,139438,139433,769,769,PR_FS,0,,2010-12-27 17:00,
209,170367,139500,139433,769,769,PR_SS,1600,,2011-08-15 17:00,
210,170368,139501,139433,769,769,PR_FS,1600,,2011-08-18 17:00,
211,170369,139439,139434,769,769,PR_FS,0,,2011-01-11 17:00,
212,170370,139436,139435,769,769,PR_SS,0,,2010-12-25 08:00,
213,170371,139436,139435,769,769,PR_FF,0,,2010-12-28 08:00,
214,170372,139438,139435,769,769,PR_FS,16,,2011-01-01 17:00,
215,170373,139453,139435,769,769,PR_FS,120,,2011-01-16 17:00,
216,170374,139454,139435,769,769,PR_FS,120,,2011-01-16 17:00,
217,170375,139451,139436,769,769,PR_FS,120,,2011-01-16 17:00,
218,170376,139452,139436,769,769,PR_FS,120,,2011-01-16 17:00,
219,170377,139454,139436,769,769,PR_FS,120,,2011-01-16 17:00,
220,170378,139460,139436,769,769,PR_FS,0,,2010-12-29 17:00,
221,170379,139439,139437,769,769,PR_FS,0,,2011-01-06 17:00,
222,170380,139460,139438,769,769,PR_FS,0,,2011-01-24 17:00,
223,170381,139466,139438,769,769,PR_FS,160,,2011-02-16 17:00,
224,170382,139462,139439,769,769,PR_FS,0,,2011-01-16 17:00,
225,170383,139490,139439,769,769,PR_FS,1040,,2011-06-18 17:00,
226,170384,139441,139440,769,769,PR_SS,0,,2011-01-11 08:00,
227,170385,139442,139440,769,769,PR_SS,0,,2011-01-11 08:00,
228,170386,139443,139440,769,769,PR_SS,0,,2011-01-11 08:00,
229,170387,139444,139440,769,769,PR_SS,0,,2011-01-11 08:00,
230,170388,139455,139440,769,769,PR_FS,0,,2011-01-17 17:00,
231,170389,139447,139441,769,769,PR_FS,0,,2011-01-12 17:00,
232,170390,139446,139442,769,769,PR_FS,0,,2011-01-11 17:00,
233,170391,139450,139443,769,769,PR_FS,0,,2011-01-15 17:00,
234,170392,139448,139444,769,769,PR_FS,0,,2011-01-12 17:00,
235,170393,139449,139445,769,769,PR_FS,0,,2011-01-15 17:00,
236,170394,139471,139446,769,769,PR_SS,0,,2011-01-12 08:00,
237,170395,139471,139447,769,769,PR_SS,0,,2011-01-13 08:00,
238,170396,139471,139448,769,769,PR_SS,0,,2011-01-13 08:00,
239,170397,139457,139449,769,769,PR_FS,0,,2011-01-23 17:00,
240,170398,139471,139450,769,769,PR_SS,0,,2011-01-16 08:00,
241,170399,139456,139451,769,769,PR_FS,0,,2011-01-20 17:00,
242,170400,139459,139452,769,769,PR_FS,0,,2011-01-22 17:00,
243,170401,139458,139453,769,769,PR_FS,0,,2011-01-23 17:00,
244,170402,139474,139453,769,769,PR_SS,0,,2011-01-17 08:00,
245,170403,139474,139454,769,769,PR_FS,0,,2011-01-20 17:00,
246,170404,139462,139455,769,769,PR_FS,0,,2011-01-29 17:00,
247,170405,139459,139456,769,769,PR_FS,0,,2011-01-24 17:00,
248,170406,139462,139457,769,769,PR_FS,0,,2011-01-24 17:00,
249,170407,139496,139458,769,769,PR_FF,0,,2011-02-17 08:00,
250,170408,139461,139459,769,769,PR_FS,0,,2011-01-27 17:00,
251,170409,139474,139460,769,769,PR_FS,0,,2011-02-05 17:00,
252,170410,139492,139460,769,769,PR_FS,480,,2011-04-17 17:00,
253,170411,139474,139461,769,769,PR_FS,0,,2011-02-10 17:00,
254,170412,139496,139462,769,769,PR_FS,1040,,2011-07-05 17:00,
255,170413,139464,139463,769,769,PR_FS,0,,2011-04-20 17:00,
256,170414,139465,139463,769,769,PR_FS,0,,2011-04-20 17:00,
257,170415,139471,139464,769,769,PR_FS,0,,2011-05-04 17:00,
258,170416,139481,139464,769,769,PR_FS,0,,2011-05-04 17:00,
259,170417,139470,139465,769,769,PR_FS,0,,2011-04-23 17:00,
260,170418,139468,139466,769,769,PR_SS,0,,2011-02-17 08:00,
261,170419,139468,139466,769,769,PR_FF,0,,2011-02-23 08:00,
262,170420,139474,139466,769,769,PR_FS,0,,2011-03-06 17:00,
263,170421,139469,139467,769,769,PR_FS,0,,2011-05-01 17:00,
264,170422,139470,139467,769,769,PR_FS,0,,2011-05-01 17:00,
265,170423,139472,139468,769,769,PR_FS,0,,2011-03-06 17:00,
266,170424,139488,139469,769,769,PR_FS,0,,2011-05-15 17:00,
267,170425,139477,139470,769,769,PR_FS,0,,2011-05-03 17:00,
268,170426,139497,139471,769,769,PR_FF,-32,,2011-04-28 08:00,
269,170427,139474,139472,769,769,PR_FS,0,,2011-03-07 17:00,
270,170428,139502,139473,769,769,PR_FS,0,,2011-03-12 17:00,
271,170429,139473,139474,769,769,PR_SS,0,,2011-03-08 08:00,
272,170430,139482,139474,769,769,PR_FS,0,,2011-03-30 17:00,
273,170431,139483,139474,769,769,PR_FS,0,,2011-03-30 17:00,
274,170432,139484,139474,769,769,PR_FS,0,,2011-03-30 17:00,
275,170433,139485,139474,769,769,PR_FS,0,,2011-03-30 17:00,
276,170434,139486,139474,769,769,PR_FS,0,,2011-03-30 17:00,
277,170435,139487,139474,769,769,PR_FS,0,,2011-03-30 17:00,
278,170436,139499,139474,769,769,PR_FS,0,,2011-03-30 17:00,
279,170437,139476,139475,769,769,PR_FS,0,,2011-05-18 17:00,
280,170438,139477,139475,769,769,PR_FS,0,,2011-05-18 17:00,
281,170439,139489,139476,769,769,PR_FS,0,,2011-06-01 17:00,
282,170440,139480,139477,769,769,PR_FS,0,,2011-05-21 17:00,
283,170441,139479,139478,769,769,PR_FS,0,,2011-06-05 17:00,
284,170442,139480,139478,769,769,PR_FS,0,,2011-06-05 17:00,
285,170443,139491,139479,769,769,PR_FS,0,,2011-06-19 17:00,
286,170444,139494,139480,769,769,PR_FS,0,,2011-06-07 17:00,
287,170445,139488,139481,769,769,PR_FS,0,,2011-05-09 17:00,
288,170446,139481,139482,769,769,PR_SS,0,,2011-03-31 08:00,
289,170447,139488,139483,769,769,PR_SS,0,,2011-03-31 08:00,
290,170448,139489,139484,769,769,PR_SS,0,,2011-03-31 08:00,
291,170449,139491,139485,769,769,PR_SS,0,,2011-03-31 08:00,
292,170450,139495,139486,769,769,PR_SS,0,,2011-03-31 08:00,
293,170451,139499,139487,769,769,PR_SS,0,,2011-03-31 08:00,
294,170452,139489,139488,769,769,PR_FS,0,,2011-05-19 17:00,
295,170453,139491,139489,769,769,PR_FS,0,,2011-06-06 17:00,
296,170454,139493,139490,769,769,PR_FS,0,,2011-06-22 17:00,
297,170455,139494,139490,769,769,PR_FS,0,,2011-06-22 17:00,
298,170456,139495,139491,769,769,PR_FS,0,,2011-06-23 17:00,
299,170457,139501,139492,769,769,PR_SS,0,,2011-04-18 08:00,
300,170458,139501,139492,769,769,PR_FF,0,,2011-04-27 08:00,
301,170459,139495,139493,769,769,PR_FS,0,,2011-07-06 17:00,
302,170460,139498,139494,769,769,PR_FS,0,,2011-06-25 17:00,
303,170461,139499,139495,769,769,PR_FS,0,,2011-07-11 17:00,
304,170462,139497,139496,769,769,PR_FS,0,,2011-07-10 17:00,
305,170463,139498,139496,769,769,PR_FS,0,,2011-07-10 17:00,
306,170464,139499,139497,769,769,PR_FS,0,,2011-07-24 17:00,
307,170465,139502,139498,769,769,PR_FS,0,,2011-07-12 17:00,
308,170466,139502,139499,769,769,PR_FS,0,,2011-07-28 17:00,
309,170467,139502,139500,769,769,PR_FS,0,,2011-09-01 17:00,
310,170468,139502,139501,769,769,PR_FS,0,,2011-08-27 17:00,
311,170469,139344,139502,769,769,PR_FS,0,,2011-09-03 08:01,
312,170470,139504,139503,769,769,PR_FS,120,,2009-11-01 17:00,
313,170471,139660,139503,769,769,PR_SS,0,,2009-07-28 08:00,
314,170472,139505,139504,769,769,PR_FS,160,,2010-01-11 17:00,
315,170473,139506,139505,769,769,PR_FS,120,,2010-04-01 17:00,
316,170474,139510,139506,769,769,PR_FS,0,,2010-04-11 17:00,
317,170475,139508,139507,769,769,PR_FS,0,,2010-06-28 17:00,
318,170476,139517,139507,769,769,PR_FS,400,,2010-08-25 17:00,
319,170477,139509,139508,769,769,PR_FS,8,,2010-07-07 17:00,
320,170478,139511,139509,769,769,PR_FS,0,,2010-07-28 17:00,
321,170479,139524,139509,769,769,PR_FS,96,,2010-08-11 17:00,
322,170480,139512,139510,769,769,PR_FS,0,,2010-05-04 17:00,
323,170481,139513,139511,769,769,PR_FS,8,,2010-08-07 17:00,
324,170482,139514,139512,769,769,PR_FS,0,,2010-05-10 17:00,
325,170483,139515,139513,769,769,PR_FS,0,,2010-08-28 17:00,
326,170484,139535,139513,769,769,PR_FS,96,,2010-09-12 17:00,
327,170485,139516,139514,769,769,PR_FS,0,,2010-06-05 17:00,
328,170486,139521,139515,769,769,PR_FS,8,,2010-09-06 17:00,
329,170487,139342,139516,769,769,PR_FS,0,,2010-06-07 17:00,
330,170488,139507,139516,769,769,PR_FS,0,,2010-06-07 17:00,
331,170489,139520,139517,769,769,PR_FS,0,,2010-08-28 17:00,
332,170490,139524,139518,769,769,PR_FS,0,,2010-09-20 17:00,
333,170491,139532,139518,769,769,PR_FS,120,,2010-10-07 17:00,
334,170492,139524,139519,769,769,PR_FS,0,,2010-09-20 17:00,
335,170493,139528,139519,769,769,PR_FS,120,,2010-10-07 17:00,
336,170494,139529,139519,769,769,PR_FS,120,,2010-10-07 17:00,
337,170495,139530,139519,769,769,PR_FS,120,,2010-10-07 17:00,
338,170496,139531,139519,769,769,PR_FS,120,,2010-10-07 17:00,
339,170497,139537,139519,769,769,PR_FS,120,,2010-10-07 17:00,
340,170498,139518,139520,769,769,PR_SS,0,,2010-08-29 08:00,
341,170499,139518,139520,769,769,PR_FF,0,,2010-08-29 08:00,
342,170500,139519,139520,769,769,PR_SS,0,,2010-08-29 08:00,
343,170501,139519,139520,769,769,PR_FF,0,,2010-08-29 08:00,
344,170502,139524,139520,769,769,PR_FS,0,,2010-09-20 17:00,
345,170503,139527,139520,769,769,PR_FS,120,,2010-10-07 17:00,
346,170504,139537,139520,769,769,PR_FS,120,,2010-10-07 17:00,
347,170505,139525,139521,769,769,PR_FS,0,,2010-10-03 17:00,
348,170506,139547,139521,769,769,PR_FS,64,,2010-10-12 17:00,
349,170507,139535,139522,769,769,PR_FS,0,,2010-10-10 17:00,
350,170508,139544,139522,769,769,PR_FS,120,,2010-10-27 17:00,
351,170509,139535,139523,769,769,PR_FS,0,,2010-10-10 17:00,
352,170510,139539,139523,769,769,PR_FS,120,,2010-10-27 17:00,
353,170511,139550,139523,769,769,PR_FS,120,,2010-10-27 17:00,
354,170512,139522,139524,769,769,PR_SS,0,,2010-09-23 08:00,
355,170513,139522,139524,769,769,PR_FF,0,,2010-09-23 08:00,
356,170514,139523,139524,769,769,PR_SS,0,,2010-09-23 08:00,
357,170515,139523,139524,769,769,PR_FF,0,,2010-09-23 08:00,
358,170516,139535,139524,769,769,PR_FS,0,,2010-10-10 17:00,
359,170517,139539,139524,769,769,PR_FS,120,,2010-10-27 17:00,
360,170518,139550,139524,769,769,PR_FS,120,,2010-10-27 17:00,
361,170519,139526,139525,769,769,PR_FS,8,,2010-10-14 17:00,
362,170520,139548,139526,769,769,PR_FS,0,,2010-11-04 17:00,
363,170521,139562,139526,769,769,PR_FS,64,,2010-11-14 17:00,
364,170522,139528,139527,769,769,PR_SS,0,,2010-10-11 08:00,
365,170523,139529,139527,769,769,PR_SS,0,,2010-10-11 08:00,
366,170524,139530,139527,769,769,PR_SS,0,,2010-10-11 08:00,
367,170525,139531,139527,769,769,PR_SS,0,,2010-10-11 08:00,
368,170526,139537,139527,769,769,PR_FS,0,,2010-10-17 17:00,
369,170527,139539,139527,769,769,PR_FS,0,,2010-10-17 17:00,
370,170528,139540,139528,769,769,PR_FS,0,,2010-10-12 17:00,
371,170529,139604,139528,769,769,PR_FS,0,,2010-10-12 17:00,
372,170530,139541,139529,769,769,PR_FS,0,,2010-10-11 17:00,
373,170531,139603,139529,769,769,PR_FS,0,,2010-10-11 17:00,
374,170532,139542,139530,769,769,PR_FS,0,,2010-10-14 17:00,
375,170533,139607,139530,769,769,PR_FS,0,,2010-10-14 17:00,
376,170534,139543,139531,769,769,PR_FS,0,,2010-10-12 17:00,
377,170535,139605,139531,769,769,PR_FS,0,,2010-10-12 17:00,
378,170536,139536,139532,769,769,PR_FS,0,,2010-10-14 17:00,
379,170537,139547,139533,769,769,PR_FS,0,,2010-10-27 17:00,
380,170538,139559,139533,769,769,PR_FS,120,,2010-11-14 17:00,
381,170539,139547,139534,769,769,PR_FS,0,,2010-10-27 17:00,
382,170540,139554,139534,769,769,PR_FS,120,,2010-11-14 17:00,
383,170541,139565,139534,769,769,PR_FS,120,,2010-11-14 17:00,
384,170542,139533,139535,769,769,PR_SS,0,,2010-10-11 08:00,
385,170543,139533,139535,769,769,PR_FF,0,,2010-10-11 08:00,
