,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,282559,109627,764,Y,,,2668,,,,16,,16,0.25,,0,0.25,0,,0,0,0,350,5600,0,0,5600,,,2010-05-18 08:00,2010-05-26 16:00,2010-05-18 08:00,2010-05-26 16:00,2010-05-18 08:00,2010-05-26 16:00,Y,,,,N,R27W2skxHEO0PDvjSQtuag,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
1,282560,109633,764,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-08-28 08:00,2010-09-05 16:00,2010-08-28 08:00,2010-09-05 16:00,2010-08-28 08:00,2010-09-05 16:00,Y,,,,N,cdOJFoAgP06qpnw38o5J3Q,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
2,282561,109637,764,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-11-03 08:00,2010-11-11 16:00,2010-11-03 08:00,2010-11-11 16:00,2010-11-03 08:00,2010-11-11 16:00,Y,,,,N,kJJReKAGtEOD4Tz/IYGnGQ,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
3,282562,109631,764,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-07-25 08:00,2010-08-02 16:00,2010-07-25 08:00,2010-08-02 16:00,2010-07-25 08:00,2010-08-02 16:00,Y,,,,N,WVkqh3C28EexXfB0rWIcDg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
4,282563,109635,764,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-09-30 08:00,2010-10-09 16:00,2010-09-30 08:00,2010-10-09 16:00,2010-09-30 08:00,2010-10-09 16:00,Y,,,,N,q2/Liyl/yUShsSC7UnEIrg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
5,282564,109629,764,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-06-21 08:00,2010-06-29 16:00,2010-06-21 08:00,2010-06-29 16:00,2010-06-21 08:00,2010-06-29 16:00,Y,,,,N,V5IMM7fZcEew/avaIRt7aA,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
6,282565,109638,764,Y,,,2668,,,,3,,3,0.09375,,0,0.09375,0,,0,0,0,350,1050,0,0,1050,,,2010-12-07 08:00,2010-12-11 16:00,2010-12-07 08:00,2010-12-11 16:00,2011-01-12 08:00,2011-01-16 16:00,Y,,,,N,zklqEQuhKkO7DSfP48qztw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
7,282566,109628,764,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-05-27 08:00,2010-06-20 16:00,2010-05-27 08:00,2010-06-20 16:00,2010-05-27 08:00,2010-06-20 16:00,Y,,,,N,0m45tKrRW0OIsAnatroKyg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
8,282567,109630,764,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-06-30 08:00,2010-07-24 16:00,2010-06-30 08:00,2010-07-24 16:00,2010-06-30 08:00,2010-07-24 16:00,Y,,,,N,P1Hs70T0rEOf6vMwrp4H1w,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
9,282568,109634,764,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-09-06 08:00,2010-09-29 16:00,2010-09-06 08:00,2010-09-29 16:00,2010-09-06 08:00,2010-09-29 16:00,Y,,,,N,tH8C1SAeyEaG//UlZTcwgg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
10,282569,109632,764,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-08-03 08:00,2010-08-26 16:00,2010-08-03 08:00,2010-08-26 16:00,2010-08-03 08:00,2010-08-26 16:00,Y,,,,N,RIBdTO4+bkOql5vdGGBWXg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
11,282570,109653,764,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-11-13 08:00,2010-12-06 16:00,2010-11-13 08:00,2010-12-06 16:00,2010-11-13 08:00,2010-12-06 16:00,Y,,,,N,S/LNgDZsYkKzjfHK/UKRJw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
12,282571,109636,764,Y,,,2668,,,,105,,105,0.625,,0,0.625,0,,0,0,0,350,36750,0,0,36750,,,2010-10-10 08:00,2010-11-02 16:00,2010-10-10 08:00,2010-11-02 16:00,2010-10-10 08:00,2010-11-02 16:00,Y,,,,N,ApSVlOkFP0i4AkihKYcw1g,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
13,282572,109639,764,Y,,,2668,,,,18,,18,0.5625,,0,0.5625,0,,0,0,0,350,6300,0,0,6300,,,2010-12-12 08:00,2010-12-15 16:00,2010-12-12 08:00,2010-12-15 16:00,2011-01-17 08:00,2011-01-20 16:00,Y,,,,N,VTm5bI4rp0aRzrVXRMpMXA,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
14,282573,109626,764,Y,,,2669,,,,87,,87,2.71875,,0,2.71875,0,,0,0,,300,26100,0,0,26100,,,2010-02-06 08:00,2010-02-09 16:00,2010-02-06 08:00,2010-02-09 16:00,2010-02-06 08:00,2010-02-09 16:00,Y,,,,N,HObU4M77rUKgWaYMzCkdjw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
15,282574,109616,764,Y,,,2669,,,,190,,190,3.39285714,,0,3.39285714,0,,0,0,,300,57000,0,0,57000,,,2010-01-27 08:00,2010-02-03 16:00,2010-01-27 08:00,2010-02-03 16:00,2010-01-27 08:00,2010-02-03 16:00,Y,,,,N,2WxVvABPcUeO3XXROytgTg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
16,282575,109618,764,Y,,,2669,,,,16,,16,1,,0,1,0,,0,0,,300,4800,0,0,4800,,,2010-05-16 08:00,2010-05-17 16:00,2010-05-16 08:00,2010-05-17 16:00,2010-05-16 08:00,2010-05-17 16:00,Y,,,,N,iQqtKmaM80GPm8iTzf+jww,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
17,282576,109621,764,Y,,,2668,,,,104,,104,1,,0,1,0,,0,0,0,350,36400,0,0,36400,,,2010-04-15 08:00,2010-04-29 16:00,2010-04-15 08:00,2010-04-29 16:00,2010-04-15 08:00,2010-04-29 16:00,Y,,,,N,O1IV1DS4kUaUN3Ui8qrbhg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
18,282577,109617,764,Y,,,2668,,,,88,,88,1,,0,1,0,,0,0,0,350,30800,0,0,30800,,,2010-02-10 08:00,2010-02-22 16:00,2010-02-10 08:00,2010-02-22 16:00,2010-02-10 08:00,2010-02-22 16:00,Y,,,,N,mn7mSiFpE0yskj0DO3IuIA,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
19,282578,109615,764,Y,,,2669,,,,16,,16,1,,0,1,0,,0,0,,300,4800,0,0,4800,,,2010-01-25 08:00,2010-01-26 16:00,2010-01-25 08:00,2010-01-26 16:00,2010-01-25 08:00,2010-01-26 16:00,Y,,,,N,F+HHStmVaEaBjuxUkibDjw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
20,282579,109628,764,Y,,,2670,,,,1,,1,0.00595238,,0,0.00595238,0,,0,0,0,3300,3300,0,0,3300,,,2010-05-27 08:00,2010-06-20 16:00,2010-05-27 08:00,2010-06-20 16:00,,,Y,,,,N,BJYeyGabvUWn74QigniM5w,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
21,282580,109630,764,Y,,,2670,,,,14,,14,0.08333333,,0,0.08333333,0,,0,0,0,3300,46200,0,0,46200,,,2010-06-30 08:00,2010-07-24 16:00,2010-06-30 08:00,2010-07-24 16:00,,,Y,,,,N,M1IfM5XjDkWzzqrR8b/PHA,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
22,282581,109632,764,Y,,,2670,,,,14,,14,0.08333333,,0,0.08333333,0,,0,0,0,3300,46200,0,0,46200,,,2010-08-03 08:00,2010-08-26 16:00,2010-08-03 08:00,2010-08-26 16:00,,,Y,,,,N,7ccgPyWRgEWpIjuCk0JRTg,COST_PER_QTY,0,0,,RT_Mat,ST_Rsrc,admin,2010-05-10 09:07,,,,,
