,rsrc_id,parent_rsrc_id,clndr_id,role_id,shift_id,ts_approve_user_id,user_id,pobs_id,guid,rsrc_seq_num,email_addr,employee_code,office_phone,other_phone,rsrc_name,rsrc_short_name,rsrc_title_name,def_qty_per_hr,cost_qty_type,ot_factor,active_flag,auto_compute_act_flag,def_cost_qty_link_flag,ot_flag,timesheet_flag,xfer_complete_day_cnt,xfer_notstart_day_cnt,curr_id,unit_id,rsrc_type,rsrc_notes,load_tasks_flag,level_flag,last_checksum
0,2101,,843,,,,,,naGIcVWG2UGoywoVDgxSPA,0,,,,,   ,R2T,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
1,2102,2101,843,,,,,,ZbkWa7sLfkuaGc1bETE1Ew,0,,,,,,Lab,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
2,2103,2101,843,,,,,,60VBZUOBEUqME8u6+UrHSA,101,,,,,MATERIAL,MT,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
3,2104,2101,843,,,,,,vy+bG9NqE0u6ATnV7OO+/A,2,,,,,EQUIPMENT,EQ,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
4,2105,2104,843,,,,,,h+0CGg9xgUqiHcncDRTBXQ,2,,,,, ,CP,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,<HTML><BODY></BODY></HTML>,,,
5,2106,2104,843,,,,,,Ni74p6ZhC06eSzCedql4Mg,4,,,,, ,VB,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
6,2107,2103,843,,,,,,0EubrM5vwEelyJCTtJYsuw,507,,,,,  ,SANT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
7,2108,2102,843,,,,,,Ppllht5Jzk+aAKp3nvfqHg,100,,,,,,Oth,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
8,2109,2104,843,,,,,,QbGfwcmW506X6yDzhZ/j3A,6,,,,,  ,Wt,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
9,2110,2103,843,,,,,,+54fB5gM/Ei7w92GTF/S5A,6,,,,, ,METT,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,,,,
10,2111,2104,843,,,,,,fiiv3vYkSkC8MshZ4lxpnw,3,,,,,  ,TMIX,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
11,2112,2103,843,,,,,,nPDJbgniHUKEbEAneNRisA,307,,,,,  ,MFT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
12,2113,2103,843,,,,,,zKMbAXDdFEKTtfCJHAd3xw,1,,,,, ,WDOOR,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
13,2114,2104,843,,,,,,yHZpGo/Gp0ytVf/xlwKYDw,7,,,,, ,COMP,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
14,2115,2103,843,,,,,,em93hb6sXEGDjX1ZinRf2g,607,,,,,  ,In&pn,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
15,2116,2103,843,,,,,,KzvVbMQRk0WM3CyLNwq+KQ,807,,,,,  ,CerT,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
16,2117,2102,843,,,,,,yaMU58ZXw06z4RpkWnq1zw,0,,,,, ,SUBC,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
17,2118,2103,843,,,,,,8dzeEuvATUubO+oGdgk+VQ,907,,,,, ,Miscellaneous,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Mat,,,,
18,2119,2103,843,,,,,,of+xP/kEf0GSIqgM0R5ptg,0,,,,,Concrete,CON,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
19,2120,2104,843,,,,,,/Muz+AmQlEy9ZSyihPithg,5,,,,, ,LevL,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Equip,,,,
20,2121,2103,843,,,,,,c0GJ4SIp8k6Lj/egvZ9v1Q,308,,,,, ,ALMN,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,113,RT_Mat,,,,
21,2122,2119,843,,,,,,RAxlv9BhzEa35ArSid6vqQ,401,,,,,  ,ST,,12.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,,,,
22,2123,2119,843,,,,,,cQMRh54RkESOHpGStjSY1g,0,,,,,   ,RC,,12.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
23,2124,2118,843,,,,,,+4Dns1ZGlkyknIt59sszuA,4,,,,,  ,CM,,0.625,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,<HTML><BODY></BODY></HTML>,,,
24,2125,2108,843,517,,,,,5/3eoPC6zE2sqa7Ym6+bJA,0,,,,, ,SV,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,<HTML><BODY></BODY></HTML>,,,
25,2126,2118,843,,,,,,j3jutdDMuU25kctF0+vPww,2,,,,,   ,BR,,9,QT_Hour,0,Y,Y,Y,N,N,60,60,1,112,RT_Mat,,,,
26,2127,2108,843,,,,,,rJqy4u1QAkmlCmUldZ1mYg,9,,,,, ,ARCFO,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,<HTML><BODY></BODY></HTML>,,,
27,2128,2116,843,,,,,,Tr4HiiWtKUKyInqWMYdAmA,0,,,,,2 ,POR,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
28,2129,2108,843,,,,,,+CatAmLCS0KrbUsZSjv1pA,3,,,,,,SRA,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
29,2130,2118,843,,,,,,QmYmm/f4vECPqPbYG11liA,9,,,,,    ,ELCM,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,105,RT_Mat,,,,
30,2131,2112,843,,,,,,vP2wfQYBXECvFEI6gr16BA,213,,,,, ,MF,,6.25,QT_Hour,0,Y,Y,Y,N,N,60,60,1,101,RT_Mat,,,,
31,2132,2108,843,,,,,,E1xH2rsFMUCl8yMLDGoKZQ,10,,,,,  ,LABTEC,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
32,2133,2118,843,,,,,,rD5S1A0RfEm2Sonw3h5dQA,11,,,,,,CRMIC,,62.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
33,2134,2118,843,,,,,,g6n6AbOY+UqU9zaajMWLFw,27,,,,,  ,DOOR-2,,4,QT_Hour,0,Y,Y,Y,N,N,60,60,1,101,RT_Mat,,,,
34,2135,2121,843,,,,,,IvsXGu8ieUSfGGCJR5S4aw,100,,,,,   ,ALM,,12.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
35,2136,2118,843,,,,,,JWaEVkQ6l06C1gHFolagbA,10,,,,,  ,SSET,,0.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,101,RT_Mat,<HTML><BODY bgColor=#ffffff>    8000   4 </BODY></HTML>,,,
36,2137,2118,843,,,,,,tP/5DAs5O0KtPgNWvI+2fw,34,,,,,  GRG  ,GRG,,12.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,110,RT_Mat,,,,
37,2138,2115,843,,,,,,DwdFNKu5z0aVsvX+65eIdA,801,,,,,    300,PES,,87.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
38,2139,2119,843,,,,,,mpeHcjPA9EmCPMAm78tZkQ,302,,,,,  ,CFRM,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,101,RT_Mat,<HTML><BODY bgColor=#ffffff><P>2500 &nbsp;&nbsp;150   * 5002 =75000  &nbsp;30&nbsp;   </P><P> /  </P></BODY></HTML>,,,
39,2140,2115,843,,,,,,8jyelRaUy0yRj87fKVpBaA,3,,,,,  ,PAINTS,,0.125,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,<HTML><BODY bgColor=#ffffff><P>  3   2 2 1   2000 2 3 </P></BODY></HTML>,,,
40,2141,2118,843,,,,,,iq4N87OuF0GDRJ/4JsubwA,18,,,,,  ,ELCHOS,,3,QT_Hour,0,Y,Y,Y,N,N,60,60,1,101,RT_Mat,,,,
41,2142,2115,843,,,,,,Fs6lVjtU8U6VfLIEjPHTgQ,601,,,,,  2,THERMAL,,18.75,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
42,2143,2108,843,,,,,,tC8Qv8ZFA02hsh8ClKMM9w,1,,,,, ,OP,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
43,2144,2118,843,,,,,,yvcYwhJmPEKEQZybCvEQYQ,24,,,,,  ,CMW,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,111,RT_Mat,,,,
44,2145,2108,843,516,,,,,c6KWc/E0h0S/FL6lL6WjFg,2,,,,, ,Enl,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,,,,
45,2146,2118,843,,,,,,Rszkz35fTUKjWZ00snLv/Q,25,,,,,  , ,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
46,2147,2119,843,,,,,,r32p0BinS0CjJqtwcSiRZA,101,,,,,   ,PC,,12.5,QT_Hour,0,Y,Y,Y,N,N,60,60,1,108,RT_Mat,,,,
47,2148,2108,843,,,,,,xYMyxRG9/UuxCaN9z63RnA,8,,,,, ,CVFOR,,1,QT_Hour,,Y,Y,Y,N,N,60,60,1,,RT_Labor,<HTML><BODY></BODY></HTML>,,,
48,2149,2116,843,,,,,,v+CXIKO98UqlIvmWTBiwYQ,1402,,,,,2       2030/422020,CRW9,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
49,2150,2113,843,,,,,,LxyPFqvHgUWNUtiKyFHIag,100,,,,, HDF ,FWOODT,,1,QT_Hour,0,Y,Y,Y,N,N,60,60,1,109,RT_Mat,,,,
