,taskrsrc_id,task_id,proj_id,cost_qty_link_flag,role_id,acct_id,rsrc_id,pobs_id,skill_level,pend_complete_pct,remain_qty,pend_remain_qty,target_qty,remain_qty_per_hr,pend_act_reg_qty,target_lag_drtn_hr_cnt,target_qty_per_hr,act_ot_qty,pend_act_ot_qty,act_reg_qty,relag_drtn_hr_cnt,ot_factor,cost_per_qty,target_cost,act_reg_cost,act_ot_cost,remain_cost,act_start_date,act_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,rollup_dates_flag,target_crv,remain_crv,actual_crv,ts_pend_act_end_flag,guid,rate_type,act_this_per_cost,act_this_per_qty,curv_id,rsrc_type,cost_per_qty_source_type,create_user,create_date,old_restart_date,old_reend_date,old_remain_drtn_hr_cnt,has_rsrchours,taskrsrc_sum_id
0,717939,162543,774,Y,,,2668,,,,16,,16,0.25,,0,0.25,0,,0,0,0,350,5600,0,0,5600,,,2010-05-18 08:00,2010-05-26 16:00,2010-05-18 08:00,2010-05-26 16:00,2010-05-18 08:00,2010-05-26 16:00,Y,,,,N,0VExv6/oV0qsZwq75y5sPQ,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
1,717940,162549,774,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-08-28 08:00,2010-09-05 16:00,2010-08-28 08:00,2010-09-05 16:00,2010-08-28 08:00,2010-09-05 16:00,Y,,,,N,wfL6O5HQzUCrx4NQbP2ADw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
2,717941,162553,774,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-11-03 08:00,2010-11-11 16:00,2010-11-03 08:00,2010-11-11 16:00,2010-11-03 08:00,2010-11-11 16:00,Y,,,,N,4GCREayaCUyPQKvpR8QUhw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
3,717942,162547,774,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-07-25 08:00,2010-08-02 16:00,2010-07-25 08:00,2010-08-02 16:00,2010-07-25 08:00,2010-08-02 16:00,Y,,,,N,5UyTOeH1QkeII38ojU6Zdw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
4,717943,162551,774,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-09-30 08:00,2010-10-09 16:00,2010-09-30 08:00,2010-10-09 16:00,2010-09-30 08:00,2010-10-09 16:00,Y,,,,N,izI58Rj0DkOD1EOMOTNepw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
5,717944,162545,774,Y,,,2668,,,,15,,15,0.234375,,0,0.234375,0,,0,0,0,350,5250,0,0,5250,,,2010-06-21 08:00,2010-06-29 16:00,2010-06-21 08:00,2010-06-29 16:00,2010-06-21 08:00,2010-06-29 16:00,Y,,,,N,bMKzZTFkeEKPooZ0IVzQGg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
6,717945,162554,774,Y,,,2668,,,,3,,3,0.09375,,0,0.09375,0,,0,0,0,350,1050,0,0,1050,,,2010-12-07 08:00,2010-12-11 16:00,2010-12-07 08:00,2010-12-11 16:00,2011-01-12 08:00,2011-01-16 16:00,Y,,,,N,ZGoAeLifDECZZyA0q9wQ4w,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
7,717946,162544,774,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-05-27 08:00,2010-06-20 16:00,2010-05-27 08:00,2010-06-20 16:00,2010-05-27 08:00,2010-06-20 16:00,Y,,,,N,CenQTGEgYkqjGJQ1Ebiq0Q,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
8,717947,162546,774,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-06-30 08:00,2010-07-24 16:00,2010-06-30 08:00,2010-07-24 16:00,2010-06-30 08:00,2010-07-24 16:00,Y,,,,N,Poil2dou70KkWAf74d1A8w,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
9,717948,162550,774,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-09-06 08:00,2010-09-29 16:00,2010-09-06 08:00,2010-09-29 16:00,2010-09-06 08:00,2010-09-29 16:00,Y,,,,N,gxt6LhiACUaqSF1CK3z4Dg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
10,717949,162548,774,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-08-03 08:00,2010-08-26 16:00,2010-08-03 08:00,2010-08-26 16:00,2010-08-03 08:00,2010-08-26 16:00,Y,,,,N,jXN2wcHzhkmVwyB6wDZrFQ,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
11,717950,162569,774,Y,,,2668,,,,97,,97,0.57738095,,0,0.57738095,0,,0,0,0,350,33950,0,0,33950,,,2010-11-13 08:00,2010-12-06 16:00,2010-11-13 08:00,2010-12-06 16:00,2010-11-13 08:00,2010-12-06 16:00,Y,,,,N,vvq5lNRIwEy7jypNZRspmQ,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
12,717951,162552,774,Y,,,2668,,,,105,,105,0.625,,0,0.625,0,,0,0,0,350,36750,0,0,36750,,,2010-10-10 08:00,2010-11-02 16:00,2010-10-10 08:00,2010-11-02 16:00,2010-10-10 08:00,2010-11-02 16:00,Y,,,,N,lk1g1s/L10am14pPQG6gDg,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
13,717952,162555,774,Y,,,2668,,,,18,,18,0.5625,,0,0.5625,0,,0,0,0,350,6300,0,0,6300,,,2010-12-12 08:00,2010-12-15 16:00,2010-12-12 08:00,2010-12-15 16:00,2011-01-17 08:00,2011-01-20 16:00,Y,,,,N,N109miOBUEi/UwvJjEI9qQ,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
14,717953,162542,774,Y,,,2669,,,,87,,87,2.71875,,0,2.71875,0,,0,0,,300,26100,0,0,26100,,,2010-02-06 08:00,2010-02-09 16:00,2010-02-06 08:00,2010-02-09 16:00,2010-02-06 08:00,2010-02-09 16:00,Y,,,,N,CYcR2tCdjEOGwolg2+MeBw,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
15,717954,162532,774,Y,,,2669,,,,190,,190,3.39285714,,0,3.39285714,0,,0,0,,300,57000,0,0,57000,,,2010-01-27 08:00,2010-02-03 16:00,2010-01-27 08:00,2010-02-03 16:00,2010-01-27 08:00,2010-02-03 16:00,Y,,,,N,aa2gzoTOd0SvgTD7ExWp0Q,COST_PER_QTY,0,0,64,RT_Mat,ST_Rsrc,admin,2010-06-01 08:59,,,,,
